,LAT,LON,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
BerkeleyHeightstownship,40.680874,-74.43105,1.0,11980.0,3.1,1.37,91.78,6.5,1.88,12.47,21.44,10.93,11.33,11980.0,100.0,75122.0,89.24,1.55,70.2,23.62,1.03,18.39,79584.0,29711.0,30233.0,13600.0,5725.0,27101.0,5115.0,22838.0,227.0,1.96,5.81,9.9,48.18,2.7,64.55,14.65,28.82,5.49,50.73,3.67,26.38,5.22,4.47,3.22,91.43,90.17,95.78,95.81,44.56,58.88,31.0,0.36,1277.0,8.69,13.0,20.99,30.93,0.93,1.39,2.24,3.3,85.68,1.37,4.81,4.17,2.99,3.0,2.84,91.46,0.39,11.06,3.0,64.0,98.37,91.01,3.12,37.5,1959.0,0.8681198,0.28,215900.0,262600.0,326900.0,111000.0,685.0,1001.0,1001.0,316.0,1001.0,23.8,21.1,14.0,11.0,-151.70221,10.66,53.72,65.29,78.09,89.14,584.6437,320.6211,-463.2531,236.00023,-63625.816,94354.586,246.13943,381.89114,71.478096,88.77311,-0.38794392,-1.1430788,-0.5990982,-3.4588594,-0.3889395,6.8810735,10.211339,6.5,1845.9,9.63,-4.1412272,71957260.0,83.33732,1.8670627,2.9564936,209017.84,30.063837,5.2812133,93.02102,16.956623,1.0,8.2,4.0,32.81,14.0,114.85,138.0,1132.08,16.0,131.26,2.0,16.41,41.02,1394.59
Marpletownship,39.97371,-75.352875,1.0,23123.0,2.82,0.8,95.57,3.44,0.85,11.01,21.3,10.48,17.18,23123.0,100.0,47917.0,78.99,1.11,64.11,35.5,2.75,22.85,55323.0,20148.0,20191.0,18137.0,4976.0366,20074.0,5250.0,12222.0,885.0,3.98,5.61,13.72,29.89,2.43,61.96,12.26,29.28,6.39,37.64,4.23,27.99,6.45,5.42,3.11,86.91,85.33,96.82,86.46,51.14,62.43,43.0,0.24,1920.0,5.21,8.65,13.33,22.5,0.43,0.72,1.11,1.87,87.79,1.81,4.25,3.34,2.7,2.83,1.96,89.03,1.01,23.6,3.0,240.0,97.15,84.88,3.399457,18.33,1958.0,0.31,0.14,136300.0,164200.0,199900.0,63600.0,467.0,560.0,672.0,205.0,627.0,27.6,20.7,12.5,-1024.5515,-137.61763,8.3,77.17,71.27,90.22,96.12,541.4352,386.0162,-617.62604,243.70741,-160734.7,55507.926,153.62262,440.11478,81.57831,88.054924,1.9184139,2.4268413,-0.13341232,4.399091,8.138376,5.6508627,64.78039,10.6,2186.7,3.84,48.10278,57316492.0,71.813934,0.9423125,2.0015752,252694.0,50.098656,4.1917043,1.0,4.25,5.0,21.26,24.0,102.05,57.0,242.37,376.0,1598.78,26.0,110.55,1.0,4.25,127.56,1955.95
Tigardcity,45.42693,-122.77839,1.0,29344.0,2.43,0.74,94.33,3.43,2.35,11.36,25.88,11.01,10.28,29344.0,100.0,35669.0,82.0,1.15,55.73,22.25,2.94,14.56,42112.0,16946.0,17103.0,16644.0,21606.0,15528.0,5954.0,8405.0,1389.0,4.75,2.8,9.09,30.13,4.01,69.8,15.95,21.52,8.79,32.48,10.1,25.78,14.76,12.55,2.95,78.54,78.85,92.37,75.72,66.08,74.19,164.0,0.88,1468.0,16.42,23.98,32.08,35.63,0.82,1.2,1.61,1.78,93.11,1.14,2.97,2.05,2.42,2.69,2.06,64.18,2.03,47.46,3.0,544.0,95.68,57.79,0.92,7.54,1976.0,1.55,0.12,74700.0,90400.0,112000.0,37300.0,370.0,428.0,520.0,150.0,484.0,24.1,21.7,11.6,16.0,-68.87464,5.0,44.77,36.6,61.26,82.85,545.17596,134.83311,-236.16432,103.843765,-80395.21,40212.383,405.6724,175.55634,82.25987,98.38862,3.8687286,0.30065933,0.45937356,4.1073995,-26.1593,9.179097,31.498495,10.6,2780.9,4.37,150.47517,52765428.0,90.42102,2.1422849,5.268783,60227.293,3.0,8.3,6.0,16.6,56.0,154.95,14.0,38.74,274.0,758.14,1797.0,4972.19,136.0,376.3,22.0,60.87,218.59,6167.51
Gloversvillecity,43.05285,-74.34375,1.0,16656.0,2.4,1.7,97.35,0.5,0.7,12.55,25.2,12.19,17.57,112377.66,101.72401,20580.0,68.15,0.24,38.95,39.48,11.71,18.33,26501.0,10810.0,10909.0,9984.0,4941.0,3541.0,2451.0,4391.0,2831.0,17.23,11.05,33.68,10.81,9.86,54.74,31.22,27.43,26.76,22.71,10.98,28.15,14.47,12.91,2.98,64.02,62.36,65.38,67.43,59.59,70.27,561.0,3.84,339.0,13.86,13.86,15.34,15.34,0.28,0.28,0.31,0.31,94.98,0.56,3.93,2.56,2.37,2.51,2.2,58.18,1.21,45.66,3.0,669.0,91.19,54.89,2.54,57.85,1939.0,7.0,0.87,36400.0,49600.0,66500.0,30100.0,195.0,250.0,309.0,114.0,333.0,28.7,20.6,14.5,-598.52094,-452.26337,2.04,88.71,56.7,90.17,96.24,414.00287,177.35173,-5.129005,153.82034,86338.875,49736.082,352.16354,223.22307,86.209816,89.74909,8.837154,2.4666138,0.18871713,11.186589,-29.774908,11.106068,51.106762,5.2,3217.7,3.31,135.40619,77990104.0,83.04322,0.9926629,4.030445,47137.79,64.97154,13.67648,10.0,57.86,10.0,57.86,33.0,190.93,225.0,1301.78,716.0,4142.56,47.0,271.93,152.35513,77.735565,306.64,6621.2476
Bemidjicity,47.471573,-94.88268,1.0,11245.0,2.76,0.53,89.16,1.17,0.52,24.46,40.53,28.69,12.65,133640.97,100.84274,17390.0,69.33,0.55,42.82,32.16,11.21,14.43,24018.0,8483.0,9009.0,887.0,4425.0,3352.0,3000.0,1328.0,2855.0,29.99,12.15,23.06,25.28,9.08,52.44,6.89,36.54,10.94,27.8,7.51,50.66,11.64,9.73,2.98,58.59,55.2,66.51,79.17,61.22,68.94,402.0,4.7,196.0,46.94,56.12,67.86,69.9,0.82,0.98,1.18,1.22,94.64,0.39,5.23,3.11,2.35,2.55,2.12,58.13,2.94,55.64,2.0,333.0,92.45,53.57,3.9,42.64,1958.0,7.45,0.82,30600.0,43200.0,59500.0,28900.0,202.0,283.0,362.0,160.0,332.0,32.2,23.2,12.9,2.0,-76.693016,1.74,73.75,42.22,60.34,89.02,935.5486,256.9038,320.91684,205.19618,87609.45,108602.97,478.85983,332.9761,70.923485,91.73647,5.2961564,-0.89828813,0.7575817,6.329045,-39.8362,9.011401,99.39374,11.5,974.2,0.38,261.7149,75968960.0,95.638054,2.1330254,8.275143,133895.95,100.60524,12.452405,175.38722,75.33199,4.0,32.04,14.0,112.14,91.0,728.93,1060.0,8490.87,91.0,728.93,5.0,40.05,935.8883,9988.79
Springfieldcity,37.208958,-93.2923,1.0,140494.0,2.45,2.51,95.65,0.9,0.95,18.09,32.89,20.04,13.26,140494.0,100.0,21577.0,75.78,1.0,41.15,29.31,7.12,14.09,27705.0,11878.0,12029.0,7382.0,10264.0,10753.0,7192.0,8104.0,23223.0,17.78,8.76,23.03,20.66,5.72,59.02,14.31,26.83,14.72,23.42,11.4,33.32,14.46,13.04,2.89,71.94,69.79,79.76,75.33,62.96,70.52,1511.0,1.58,2091.0,21.33,30.56,38.02,45.48,0.32,0.45,0.57,0.68,96.87,0.6,3.08,1.92,2.28,2.37,2.16,57.81,2.11,53.19,2.0,5119.0,91.81,55.5,2.09,26.22,1966.0,6.13,0.31,37700.0,53900.0,73100.0,35400.0,215.0,280.0,349.0,134.0,340.0,26.4,17.3,11.7,327.0,4.0,1.49,64.35,42.29,70.61,85.66,462.14557,178.91606,-94.44364,133.44011,9721.726,56361.445,392.8215,165.03635,78.31893,97.238335,7.08508,-1.0548943,0.3557648,5.9604893,-5.8259377,10.494079,104.47737,70.4,1995.7,0.97,241.50932,40324896.0,86.76672,1.7018732,6.6208305,79239.43,7.0,4.63,77.0,50.98,136.0,90.05,449.0,297.29,2094.0,1386.46,7690.0,5091.64,454.0,300.6,134.0,88.72,442.95,6867.42
Norwoodtown,42.19439,-71.19897,1.0,28700.0,2.6,1.6,96.57,1.47,1.1,11.17,27.41,12.76,14.42,28700.0,100.0,42805.0,79.47,0.39,47.7,30.23,5.41,17.23,50394.0,18193.0,18276.0,17342.0,21482.0,12639.0,21852.0,22594.0,1126.0,4.01,4.49,13.89,27.01,4.85,65.42,14.02,27.17,8.5,32.78,5.97,36.05,9.06,7.64,3.14,79.53,79.76,92.05,77.12,65.16,72.81,263.0,1.18,2637.0,11.38,16.27,23.93,27.76,1.05,1.49,2.2,2.55,89.98,0.6,5.08,3.46,2.55,2.89,2.09,64.62,1.47,47.35,3.0,566.0,95.11,56.96,1.41,34.45,1956.0,0.69,0.28,155100.0,179000.0,215500.0,60400.0,463.0,669.0,824.0,361.0,736.0,24.4,20.8,12.5,-805.3717,-242.76688,9.19,77.3,63.45,82.23,93.53,768.5591,270.31693,-189.72122,199.88116,-154387.2,83653.02,277.08496,323.3604,80.19564,90.788635,3.1274822,0.036182724,-0.6224003,2.628654,-0.72287625,6.091137,27.253916,10.9,2643.5,9.62,52.423035,53855404.0,77.15734,0.27617484,3.1151767,195006.86,45.768635,5.2365003,4.0,13.53,9.0,30.44,54.0,182.66,110.0,372.09,288.0,974.19,144.0,487.1,17.0,57.5,226.63,1890.88
Andersoncity,34.50344,-82.65013,1.0,59459.0,2.45,14.2,84.87,0.4,0.63,15.31,27.93,14.78,14.6,59449.0,100.0,23221.0,71.6,0.67,35.74,32.58,8.81,22.59,28901.0,12161.0,12599.0,9820.0,6634.0,8802.0,7428.0,6187.0,10320.0,17.98,10.09,28.67,12.0,8.19,56.59,27.0,21.54,21.92,18.02,13.28,28.34,16.33,14.94,2.95,62.56,58.7,69.89,62.76,63.08,72.44,2368.0,4.66,517.0,13.15,22.82,28.24,33.08,0.11,0.2,0.25,0.29,97.43,0.28,3.85,2.55,2.36,2.42,2.27,65.29,1.9,56.3,2.0,2051.0,92.22,63.82,6.39,56.36,1954.0,8.42,0.49,26300.0,37000.0,52400.0,26100.0,186.0,253.0,325.0,139.0,338.0,26.3,15.1,12.2,21.0,-370.54697,0.87,73.7,54.85,85.55,91.51,240.60641,212.48662,-579.75806,127.35152,201168.48,74825.52,387.43204,264.33627,76.82916,90.15033,12.22745,-1.4613203,0.26522365,11.284985,6.2457213,12.06848,88.00898,39.2,1515.3,0.7,196.88611,50382944.0,56.32934,0.9968445,7.5769835,65822.51,8.0,13.13,34.0,55.79,98.0,160.8,128.0,210.02,608.0,997.6,2250.0,3691.79,125.0,205.1,9.0,14.77,439.73,4909.26
Fargocity,46.877186,-96.7898,1.0,74111.0,2.46,0.35,97.11,1.25,0.73,16.64,35.16,20.33,8.58,74115.0,100.0,25326.0,83.69,2.93,47.11,19.3,4.21,10.31,34269.0,13554.0,13727.0,8852.0,5344.0,8011.0,5332.0,5174.0,9603.0,13.68,5.52,11.27,30.24,4.18,68.51,6.89,31.55,11.37,29.43,7.29,40.87,9.94,8.64,3.0,79.35,79.7,86.6,80.7,74.32,78.51,751.0,1.64,1474.0,23.68,33.58,46.68,53.93,0.47,0.67,0.93,1.07,95.21,0.43,2.59,1.54,2.32,2.77,1.91,57.42,1.67,59.32,2.0,1562.0,95.07,48.1,0.45,25.61,1971.0,2.66,0.19,54500.0,70300.0,93700.0,39200.0,241.0,321.0,387.0,146.0,355.0,25.2,20.7,12.8,125.0,15.0,1.99,58.82,40.72,67.97,81.39,764.7279,168.43112,33.70226,119.43892,-42447.03,38491.21,370.83704,166.84584,78.53153,99.03558,5.5691986,-0.9673412,0.45109427,4.3116326,-12.601491,10.399718,108.30712,30.9,2399.3,1.41,176.59546,34986760.0,89.228546,1.6433372,6.2523518,87872.53,76.34448,12.296968,35.0,43.87,16.0,20.05,41.0,51.39,425.0,532.66,3149.0,3946.71,206.0,258.18,8.0,10.03,115.31,4747.58
Wacocity,31.549334,-97.14667,1.0,103590.0,2.62,23.14,67.6,0.92,16.35,19.88,34.55,21.62,13.12,103590.0,100.0,17852.0,74.2,0.86,30.98,29.09,9.06,13.99,24058.0,10195.0,12126.0,5715.0,11313.0,5770.0,7320.0,6984.0,27767.0,28.68,13.01,31.62,17.02,8.39,51.37,15.73,29.06,16.43,24.3,11.07,38.49,14.66,12.97,3.11,61.65,54.56,68.85,61.69,60.8,69.23,3537.0,4.71,4793.0,15.54,23.08,35.32,49.82,0.72,1.07,1.63,2.31,85.72,2.51,6.7,4.1,2.45,2.47,2.44,46.82,6.14,59.96,2.0,5606.0,87.57,46.51,5.64,37.57,1960.0,11.74,0.33,28600.0,43100.0,67400.0,38800.0,192.0,281.0,369.0,177.0,353.0,29.6,19.4,13.0,43.0,4.0,4.63,75.59,42.33,74.05,92.12,198.0,183.53,187.0,173.33,73432.0,68065.1,370.9,183.5,89.32,78.28,11.11,10.61,0.07294257,21.72,13.0,12.0,60.2,78.5,1319.3,0.76,100.0,9315474.0,94.44,10.0,6.57,86346.3,29.0,26.88,141.0,130.69,453.0,419.89,1043.0,966.77,2397.0,2221.81,6121.0,5673.63,1070.0,991.8,18.0,16.68,1544.24,8903.93
